Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
17:41:22,102;386,794027;0,109927;0,119911;0,165575;-0,291065;-2,650825;-0,33957;24,103465
17:41:22,112;387,736988;0,107302;0,122011;0,168331;-0,054794;-2,362077;-0,182065;24,103465
17:41:22,122;385,851065;0,109402;0,118861;0,167413;-0,277938;-2,677075;-0,431448;24,050956
17:41:22,132;383,965142;0,112553;0,134087;0,166494;-0,041668;-2,335827;-0,063936;24,103465
17:41:22,142;384,908103;0,107302;0,125686;0,16925;-0,330443;-2,5852;-0,352696;24,064083
17:41:22,152;385,851065;0,113078;0,125686;0,165575;-0,041668;-2,335827;-0,077062;24,090338
17:41:22,162;383,493661;0,114653;0,124111;0,171087;-0,251686;-2,729574;-0,365821;24,07721
17:41:22,172;386,794027;0,108877;0,119386;0,165575;-0,028542;-2,375202;-0,116438;24,07721
17:41:22,182;386,794027;0,115178;0,125686;0,172925;-0,277938;-2,61145;-0,405198;24,116592
17:41:22,192;384,908103;0,109927;0,123061;0,168331;-0,054794;-2,453951;-0,103313;24,103465
17:41:22,202;385,379584;0,106252;0,122011;0,172925;-0,304191;-2,703324;-0,33957;24,116592
17:41:22,212;386,794027;0,113078;0,123586;0,172006;-0,107299;-2,322702;-0,063936;24,064083
17:41:22,222;389,151431;0,110452;0,126736;0,166494;-0,264812;-2,66395;-0,33957;24,12972
17:41:22,232;385,851065;0,108877;0,121486;0,172006;-0,041668;-2,598325;-0,155814;24,064083
17:41:22,242;384,908103;0,102052;0,119386;0,168331;-0,304191;-2,6377;-0,392072;24,07721
17:41:22,252;386,322546;0,106777;0,124111;0,170169;-0,041668;-2,309577;-0,142689;24,090338
17:41:22,262;386,322546;0,110977;0,120961;0,16925;-0,330443;-2,768949;-0,326445;24,116592
17:41:22,272;385,851065;0,110452;0,121486;0,166494;-0,002289;-2,388327;-0,116438;24,064083
17:41:22,282;383,965142;0,112553;0,129887;0,165575;-0,304191;-2,61145;-0,352696;24,064083
17:41:22,292;387,265507;0,109402;0,121486;0,166494;-0,054794;-2,348952;-0,155814;24,07721
17:41:22,302;384,908103;0,105202;0,115711;0,167413;-0,277938;-2,703324;-0,418323;24,037828
17:41:22,312;383,965142;0,111503;0,120961;0,163738;-0,015416;-2,296452;-0,050811;24,037828
17:41:22,322;383,493661;0,109927;0,118336;0,16925;-0,330443;-2,572075;-0,33957;24,07721
17:41:22,332;384,436622;0,116753;0,128312;0,163738;-0,002289;-2,493326;-0,208316;24,064083
17:41:22,342;379,721814;0,107302;0,122536;0,166494;-0,277938;-2,755824;-0,326445;24,116592
17:41:22,352;384,436622;0,108877;0,125686;0,167413;-0,015416;-2,362077;-0,077062;24,037828
17:41:22,362;387,265507;0,106252;0,117811;0,167413;-0,304191;-2,703324;-0,31332;24,050956
17:41:22,372;387,736988;0,112553;0,127261;0,172925;-0,015416;-2,493326;-0,129563;24,064083
17:41:22,382;383,02218;0,113603;0,128837;0,16925;-0,317317;-2,716449;-0,365821;24,12972
17:41:22,392;384,436622;0,113078;0,129362;0,170169;-0,054794;-2,427701;-0,090187;24,050956
17:41:22,402;384,436622;0,113078;0,128837;0,167413;-0,277938;-2,703324;-0,365821;24,090338
17:41:22,412;386,794027;0,107827;0,120436;0,172925;-0,054794;-2,388327;-0,050811;24,090338
17:41:22,422;385,379584;0,113603;0,126736;0,168331;-0,343569;-2,572075;-0,352696;24,050956
17:41:22,432;384,436622;0,106252;0,122536;0,174762;-0,06792;-2,322702;-0,077062;24,07721
17:41:22,442;384,908103;0,104152;0,116761;0,172006;-0,291065;-2,742699;-0,392072;24,090338
17:41:22,452;385,379584;0,112553;0,122536;0,16925;-0,002289;-2,296452;0,001691;24,090338
17:41:22,462;388,208469;0,112553;0,128312;0,16925;-0,291065;-2,5852;-0,365821;24,064083
17:41:22,472;388,67995;0,110977;0,131987;0,16925;-0,015416;-2,519576;0,014816;24,090338
17:41:22,482;387,265507;0,108877;0,124111;0,16925;-0,330443;-2,729574;-0,444574;24,116592
17:41:22,492;387,736988;0,110452;0,124111;0,168331;-0,041668;-2,480201;-0,063936;24,07721
17:41:22,502;381,607737;0,112553;0,121486;0,165575;-0,369821;-2,61145;-0,444574;24,064083
17:41:22,512;383,02218;0,106252;0,122536;0,16925;0,010837;-2,532701;-0,077062;24,07721
17:41:22,522;385,379584;0,112553;0,125161;0,167413;-0,330443;-2,61145;-0,365821;24,037828
17:41:22,532;386,322546;0,111503;0,122011;0,167413;-0,015416;-2,283327;-0,077062;24,064083
17:41:22,542;385,851065;0,106252;0,117811;0,168331;-0,304191;-2,690199;-0,405198;24,050956
17:41:22,552;387,265507;0,108877;0,118336;0,170169;-0,002289;-2,519576;-0,090187;24,103465
17:41:22,562;385,379584;0,114128;0,118861;0,167413;-0,343569;-2,55895;-0,365821;24,011574
17:41:22,572;389,622912;0,114653;0,125161;0,168331;-0,002289;-2,335827;-0,155814;24,090338
